Ref,Val,Package,PosX,PosY,Rot,Side
"MMD0","0R-JUMPA","A0R-JMP",5.897992,-3.893803,0.000000,bottom
"MMD1","0R-JUMPA","A0R-JMP",5.822992,-3.893803,180.000000,bottom
"USEL1","0R-JUMPA","A0R-JMP",5.860000,-4.240000,180.000000,bottom
"C1","10uf","CP_EIA-2012-15_AVX-P",5.572992,-4.203819,90.000000,top
"C2","100n","C_0603_1608Metric",5.500000,-4.203819,-90.000000,top
"C3","330n","C_0603_1608Metric",5.712992,-4.348819,90.000000,top
"C4","33n","C_0603_1608Metric",6.212992,-4.398819,180.000000,top
"C5","33n","C_0603_1608Metric",6.082992,-4.398819,0.000000,top
"C6","100n","C_0603_1608Metric",5.592992,-3.963819,90.000000,top
"C7","330n","C_0603_1608Metric",5.462992,-4.348819,-90.000000,top
"C8","10uf","CP_EIA-2012-15_AVX-P",5.522992,-3.813803,90.000000,top
"C9","100n","C_0603_1608Metric",5.532992,-3.963819,-90.000000,top
"C10","33n","C_0603_1608Metric",5.292992,-4.158819,90.000000,top
"C11","27p","C_0603_1608Metric",6.347992,-4.133819,90.000000,top
"C12","27p","C_0603_1608Metric",6.347992,-3.803803,-90.000000,top
"C13","33n","C_0603_1608Metric",5.292992,-4.013819,90.000000,top
"J1","10p-2.54","PinHeader_1x10_P2.54mm_Vertical",6.295000,-4.588819,-90.000000,top
"Q1","8.192MHz","Crystal_SMD_HC49-SD",6.185984,-3.969803,90.000000,top
"R1","100R","R_0603_1608Metric",5.627992,-4.348819,-90.000000,top
"R2","1K","R_0603_1608Metric",6.212992,-4.333819,180.000000,top
"R3","1K","R_0603_1608Metric",6.082992,-4.333819,0.000000,top
"R4","0R","R_0603_1608Metric",5.592992,-3.834803,-90.000000,top
"R5","100R","R_0603_1608Metric",5.547992,-4.348819,-90.000000,top
"R6","1K","R_0603_1608Metric",5.394016,-4.185000,180.000000,top
"R7","2.4R","R_0603_1608Metric",5.327992,-4.258819,0.000000,top
"R8","2.4R","R_0603_1608Metric",5.325000,-3.913803,180.000000,top
"R9","1K","R_0603_1608Metric",5.395000,-3.990000,180.000000,top
"U1","ATM90E26","SSOP-28_5.3x10.2mm_P0.65mm",5.857008,-4.044803,0.000000,top
